"NUTS_ID","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","psi_mean","psi_days","psi_deficit","psi_days_per_year","psi_deficit_per_year","psi_interannual_sd","rape_frac","rape_suit","rape_bad","temf_frac","temf_suit","temf_bad","sunf_frac","sunf_suit","sunf_bad","region_id"
"DEA3",2,"DE","Münster","Münster",NA,NA,NA,0.531616985797882,389.143615722656,342.856353759766,32.428638458252,28.5713653564453,0.134370490908623,0.0129363527521491,0.00685017323121428,0.37125688791275,0.0019078009063378,0.00101677980273962,0.0543522909283638,5.83767796342727e-05,2.98904215014772e-05,0.00173766771331429,"DEA3"
"DEA4",2,"DE","Detmold","Detmold",NA,NA,NA,0.487013399600983,356.493804931641,375.506195068359,29.7078189849854,31.2921829223633,0.128496080636978,0.0118114668875933,0.00576367136090994,0.368915557861328,0.00220267754048109,0.00112332287244499,0.0658406391739845,7.00457894708961e-05,3.35400436597411e-05,0.00222685071639717,"DEA4"
"DEA5",2,"DE","Arnsberg","Arnsberg",NA,NA,NA,0.438537836074829,321.009704589844,410.990325927734,26.7508087158203,34.249195098877,0.12805487215519,0.00550559954717755,0.00254777376540005,0.180427372455597,0.00149711803533137,0.000751957471948117,0.0454547926783562,4.37982816947624e-05,1.91319977602689e-05,0.00150464323814958,"DEA5"
"DEB1",2,"DE","Koblenz","Koblenz",NA,NA,NA,0.495303899049759,362.562469482422,369.437561035156,30.2135372161865,30.7864627838135,0.146791011095047,0.0302460547536612,0.0153684671968222,0.907532870769501,0.00286286789923906,0.00142444728408009,0.0877436622977257,0.000335830147378147,0.000170967963640578,0.0100565925240517,"DEB1"
"DEB2",2,"DE","Trier","Trier",NA,NA,NA,0.46859809756279,343.013793945312,388.986206054688,28.5844821929932,32.4155158996582,0.148442849516869,0.0344294309616089,0.016658179461956,1.08404624462128,0,0,0,0.000311133306240663,0.000151785265188664,0.00972022954374552,"DEB2"
"DEB3",2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",NA,NA,NA,0.583286345005035,426.965606689453,305.034423828125,35.5804672241211,25.4195346832275,0.149574503302574,0.0314186774194241,0.0186368096619844,0.779693961143494,0.00839501712471247,0.00509044202044606,0.201579123735428,0.000425617472501472,0.000253313424764201,0.0105105461552739,"DEB3"
"DEC0",2,"DE","Saarland","Saarland",NA,NA,NA,0.529525816440582,387.612884521484,344.387084960938,32.3010749816895,28.6989250183105,0.160172894597054,0.0172476395964622,0.00910107605159283,0.496940314769745,0.00422210618853569,0.00225253798998892,0.12014365196228,0.00112294056452811,0.000602044397965074,0.0317746624350548,"DEC0"
"DED2",2,"DE","Dresden","Dresden",NA,NA,NA,0.520232796669006,380.810394287109,351.189605712891,31.7342014312744,29.2658004760742,0.119316048920155,0.0325184911489487,0.0168328247964382,0.956825792789459,0.00362827582284808,0.00190126628149301,0.105347573757172,0.000722443161066622,0.000376520823920146,0.021101264283061,"DED2"
"DED4",2,"DE","Chemnitz","Chemnitz",NA,NA,NA,0.440346449613571,322.333587646484,409.666381835938,26.8611335754395,34.1388664245605,0.123486250638962,0.0426254272460938,0.0194697305560112,1.41249740123749,0.00473948195576668,0.00237164297141135,0.144438192248344,0.000737923430278897,0.000343193503795192,0.0240785274654627,"DED4"
"DED5",2,"DE","Leipzig","Leipzig",NA,NA,NA,0.559150576591492,409.298217773438,322.701812744141,34.1081848144531,26.8918170928955,0.124753564596176,0.0397649295628071,0.022200021892786,1.07145941257477,0.00490598194301128,0.00273893307894468,0.132190003991127,0.000901417108252645,0.000503695977386087,0.0242609940469265,"DED5"
"DEE0",2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",NA,NA,NA,0.541266798973083,396.207275390625,335.792724609375,33.0172729492188,27.9827270507812,0.122149549424648,0.0329268425703049,0.0179282650351524,0.914913177490234,0.00199498585425317,0.00109249562956393,0.0550519116222858,0.0017920951358974,0.000979522126726806,0.0495669580996037,"DEE0"
"DEF0",2,"DE","Schleswig-Holstein","Schleswig-Holstein",NA,NA,NA,0.41074150800705,300.662780761719,431.337188720703,25.055233001709,35.944766998291,0.122642919421196,0.0386143401265144,0.0157308876514435,1.41004383563995,0.0136487940326333,0.00585290649905801,0.475549131631851,0.000421445380197838,0.000189419559319504,0.01415357273072,"DEF0"
"DEG0",2,"DE","Thüringen","Thüringen",NA,NA,NA,0.46648845076561,341.469543457031,390.530456542969,28.4557971954346,32.5442047119141,0.128919526934624,0.039261631667614,0.0187606252729893,1.25056147575378,0.00439339457079768,0.00223688688129187,0.131546959280968,0.000588110240641981,0.000284215988358483,0.0185375493019819,"DEG0"
